"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-07",,"23.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-09",,"25.5",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-10",,"27.1",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-11",,"26.7","31.5",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-12",,"25.6",,"22.5"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-13",,"26.1",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-14",,"26.8","32.2","23.0"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-15",,"26.3","32.1","23.4"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-16",,"25.8","31.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-17",,"25.4","29.4",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-18",,"27.7",,"22.1"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-19",,"25.9",,
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-20",,"26.4",,"22.8"
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-21",,"27.3","32.0",
"NIM00065250","PORT HARCOURT INTERNATIONAL, NI","2020-10-22",,"28.0","33.8","23.0"
